duo.co.kr 트래픽 분석 리포트 - 2026.02.12,,,,
분석: 미카사 (진격의 마케팅),,,,
,,,,
[1] 사이트 개요,,,,
항목,수치,기준일,,
도메인,duo.co.kr,,,
회원수,"35,581명",2026.2.9,,
누적 성혼수,"53,384명",2026.2.9,,
유튜브 구독자,"140,000명",2026.2,,
추정 MAU,"150,000~250,000",(추정),,
추정 DAU,"5,000~10,000",(추정),,
,,,,
[2] 유입 경로별 비율 (추정),,,,
유입경로,비율(%),추정 월간 방문자,설명,중요도
네이버 검색 (오가닉),35%,"~70,000","결혼정보회사, 듀오, 결정사 등 자연검색",핵심
네이버 검색광고 (CPC),25%,"~50,000","파워링크 상위노출 주요 KW",핵심
직접 유입 (Direct),15%,"~30,000","duo.co.kr 직접입력, 브랜드 인지도",중요
유튜브 / SNS,10%,"~20,000","유튜브 14만 구독, 콜라보 콘텐츠",중요
구글 검색,5%,"~10,000",구글 자연검색,보조
블로그/카페 레퍼럴,5%,"~10,000","블로그 후기, 카페 링크",보조
뉴스/PR,3%,"~6,000","보도자료 주 2-3건",보조
기타 (디스플레이 등),2%,"~4,000","배너, 기타 레퍼럴",보조
,,,,
[3] 네이버 키워드 콘텐츠 볼륨,,,,
키워드,블로그 게시물 수,경쟁강도,,
결혼정보회사 추천,"46,556",높음,,
결정사,"44,501",높음,,
결혼정보회사 비용,"33,843",높음,,
결혼정보회사 후기,"24,270",중간,,
결혼정보회사 가입비,"23,137",중간,,
결정사 추천,"16,429",중간,,
결혼정보회사 가격,"15,735",중간,,
결혼정보회사 순위,"12,619",중간,,
결정사 비용,"11,779",중간,,
결정사 후기,"10,708",중간,,
듀오 결혼정보회사,"9,810",낮음,,
듀오 가입비,"1,685",낮음,,
,,,,
[4] 네이버 광고 집행 현황,,,,
광고 유형,상태,비고,,
파워링크,집행중,"주요 KW 상위 3위",,
브랜드검색,집행중,"'듀오' 검색시 노출",,
네이버 예약,운영중,상담예약 연동,,
네이버 톡톡,운영중,실시간 상담,,
,,,,
[5] 주요 경쟁사,,,,
업체,특징,네이버 광고 여부,,
가연,"전국 다지점, 가격 경쟁력",파워링크 집행,,
제이노블,"46년 전통, PDCA 매칭",파워링크 집행,,
노블리에,"나솔28기 출연, 4만 회원",파워링크 집행,,
퍼플스,"상류층 특화, 럭셔리 파티",파워링크 집행,,
엔노블,"SKY 동문회 제휴",파워링크 집행,,
노블레스수현,"피해접수 0%",파워링크 집행,,
,,,,
[6] 분석 방법론 및 한계,,,,
"본 리포트는 공개 데이터 기반 추정치입니다.",,,,
"- 네이버 검색 API (블로그 콘텐츠 볼륨)",,,,
"- 네이버 검색 결과 광고 직접 확인",,,,
"- 유튜브/뉴스 공개 데이터",,,,
"- duo.co.kr 공식 사이트 공개 수치",,,,
"정확한 DAU/MAU는 GA 또는 SimilarWeb Pro 필요",,,,
